Имя	ИД процесса	Описание	Состояние	Группа
TextInputManagementService	1892	Служба управления текстовым вводом	Выполняется	LocalSystemNetworkRestricted
Themes		Темы	Остановлено	netsvcs
TieringEngineService		Управление уровнями хранилища	Остановлено	
TimeBrokerSvc		Брокер времени	Остановлено	LocalServiceNetworkRestricted
TokenBroker		Диспетчер учетных веб-записей	Остановлено	netsvcs
TrkWks		Клиент отслеживания изменившихся связей	Остановлено	LocalSystemNetworkRestricted
TroubleshootingSvc		Рекомендованная служба устранения неполадок	Остановлено	netsvcs
TrustedInstaller		Установщик модулей Windows	Остановлено	
tzautoupdate		Автоматическое обновление часового пояса	Остановлено	LocalService
UdkUserSvc_51989		Пользовательская служба UDK_51989	Остановлено	UdkSvcGroup
UdkUserSvc_c4839		Пользовательская служба UDK_c4839	Остановлено	UdkSvcGroup
UevAgentService		Служба виртуализации взаимодействия с пользователем	Остановлено	
UmRdpService		Перенаправитель портов пользовательского режима служб удаленных рабочих столов	Остановлено	LocalSystemNetworkRestricted
UnistoreSvc_51989		Служба хранения данных пользователя_51989	Остановлено	UnistackSvcGroup
UnistoreSvc_c4839		Служба хранения данных пользователя_c4839	Остановлено	UnistackSvcGroup
upnphost		Узел универсальных PNP-устройств	Остановлено	LocalServiceAndNoImpersonation
UserDataSvc_51989		Служба доступа к данным пользователя_51989	Остановлено	UnistackSvcGroup
UserDataSvc_c4839		Служба доступа к данным пользователя_c4839	Остановлено	UnistackSvcGroup
UserManager	1768	Диспетчер пользователей	Выполняется	netsvcs
UsoSvc		Служба оркестратора обновлений	Остановлено	netsvcs
VaultSvc	1132	Диспетчер учетных данных	Выполняется	
vds		Виртуальный диск	Остановлено	
vmicguestinterface		Интерфейс гостевой службы Hyper-V	Остановлено	LocalSystemNetworkRestricted
vmicheartbeat		Служба пульса (Hyper-V)	Остановлено	ICService
vmickvpexchange		Служба обмена данными (Hyper-V)	Остановлено	LocalSystemNetworkRestricted
vmicrdv		Служба виртуализации удаленных рабочих столов Hyper-V	Остановлено	ICService
vmicshutdown		Служба завершения работы в качестве гостя (Hyper-V)	Остановлено	LocalSystemNetworkRestricted
vmictimesync		Служба синхронизации времени Hyper-V	Остановлено	LocalServiceNetworkRestricted
vmicvmsession		Служба Hyper-V PowerShell Direct	Остановлено	LocalSystemNetworkRestricted
vmicvss		Служба запросов на теневое копирование томов Hyper-V	Остановлено	LocalSystemNetworkRestricted
VSS		Теневое копирование тома	Остановлено	
W32Time		Служба времени Windows	Остановлено	LocalService
WaaSMedicSvc		WaaSMedicSvc	Остановлено	wusvcs
WalletService		Служба кошелька	Остановлено	appmodel
WarpJITSvc		Warp JIT Service	Остановлено	LocalServiceNetworkRestricted
wbengine		Служба модуля архивации на уровне блоков	Остановлено	
WbioSrvc		Биометрическая служба Windows	Остановлено	WbioSvcGroup
Wcmsvc	2172	Диспетчер подключений Windows	Выполняется	LocalServiceNetworkRestricted
wcncsvc		Немедленные подключения Windows - регистратор настройки	Остановлено	LocalServiceAndNoImpersonation
WdiServiceHost		Узел службы диагностики	Остановлено	LocalService
WdiSystemHost		Узел системы диагностики	Остановлено	LocalSystemNetworkRestricted
WdNisSvc		Служба проверки сети антивирусной программы Microsoft Defender	Остановлено	
WebClient		Веб-клиент	Остановлено	LocalService
webthreatdefsvc		Служба защиты от веб-угроз	Остановлено	WebThreatDefense
webthreatdefusersvc_51989		Служба защиты пользователей от веб-угроз_51989	Остановлено	LocalSystemNetworkRestricted
webthreatdefusersvc_c4839		Служба защиты пользователей от веб-угроз_c4839	Остановлено	LocalSystemNetworkRestricted
Wecsvc		Сборщик событий Windows	Остановлено	NetworkService
WEPHOSTSVC		Служба узла поставщика шифрования Windows	Остановлено	WepHostSvcGroup
wercplsupport		Поддержка панели управления "Отчеты о проблемах"	Остановлено	netsvcs
WerSvc		Служба регистрации ошибок Windows	Остановлено	WerSvcGroup
WFDSConMgrSvc		Служба диспетчера подключений служб Wi-Fi Direct	Остановлено	LocalServiceNetworkRestricted
whesvc		Работоспособность и оптимизированные взаимодействия Windows	Остановлено	whesvc
WiaRpc		События получения неподвижных изображений	Остановлено	LocalSystemNetworkRestricted
WinDefend	2572	Служба антивирусной программы Microsoft Defender	Выполняется	
WinHttpAutoProxySvc	2088	Служба автоматического обнаружения веб-прокси WinHTTP	Выполняется	LocalServiceHttp
Winmgmt	2556	Инструментарий управления Windows	Выполняется	netsvcs
WinRM		Служба удаленного управления Windows (WS-Management)	Остановлено	NetworkService
wisvc		Служба предварительной оценки Windows	Остановлено	netsvcs
WlanSvc		Служба автонастройки WLAN	Остановлено	LocalSystemNetworkRestricted
wlidsvc		Помощник по входу в учетную запись Майкрософт	Остановлено	netsvcs
wlpasvc		Служба помощника по локальному профилю	Остановлено	LocalServiceNetworkRestricted
WManSvc		Служба управления Windows	Остановлено	netsvcs
wmiApSrv		Адаптер производительности WMI	Остановлено	
WMPNetworkSvc		Служба общих сетевых ресурсов проигрывателя Windows Media	Остановлено	
workfolderssvc		Рабочие папки	Остановлено	LocalService
WpcMonSvc		Родительский контроль	Остановлено	LocalService
WPDBusEnum		Служба перечислителя переносных устройств	Остановлено	LocalSystemNetworkRestricted
WpnService		Служба системы push-уведомлений Windows	Остановлено	netsvcs
WpnUserService_51989		Пользовательская служба push-уведомлений Windows_51989	Остановлено	UnistackSvcGroup
WpnUserService_c4839		Пользовательская служба push-уведомлений Windows_c4839	Остановлено	UnistackSvcGroup
WSAIFabricSvc		WSAIFabricSvc	Остановлено	WSAIFabricSvcGroup
wscsvc		Центр обеспечения безопасности	Остановлено	LocalServiceNetworkRestricted
WSearch		Windows Search	Остановлено	
wuauserv		Центр обновления Windows	Остановлено	netsvcs
wuqisvc		Аналитика качества и использования Майкрософт	Остановлено	WuqiSvcGroup
WwanSvc		Автонастройка WWAN	Остановлено	LocalSystemNetworkRestricted
XblAuthManager		Диспетчер проверки подлинности Xbox Live	Остановлено	netsvcsRedirectionGuard
XblGameSave		Сохранение игр на Xbox Live	Остановлено	netsvcs
XboxGipSvc		Xbox Accessory Management Service	Остановлено	netsvcs
XboxNetApiSvc		Сетевая служба Xbox Live	Остановлено	netsvcs
